id,neighborhood,bathrooms/bed,reviewscore_rating,score_cleanliness,score_location,latitude,longitude,price,price_class
7219056,Fenway/Kenmore,0.5,100.0,10.0,8.0,42.344003650308316,-71.09772749589216,189.5,5
15827529,Fenway/Kenmore,1.0,93.0,10.0,10.0,42.34623020444565,-71.08863435468757,299.0,5
8163273,Fenway/Kenmore,1.0,80.0,9.0,10.0,42.34475584567394,-71.10062117823438,94.5,3
16469939,Fenway/Kenmore,0.5,92.0,8.0,10.0,42.350094902531744,-71.10231426426664,42.5,1
19468739,Fenway/Kenmore,0.5,95.0,10.0,10.0,42.34688579118193,-71.10397019553682,50.0,1
20844945,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.34392847797158,-71.1002149595183,74.0,2
6843795,Fenway/Kenmore,1.0,99.0,10.0,10.0,42.343340723091714,-71.0955893880807,185.0,5
5259996,Fenway/Kenmore,0.75,95.0,9.0,10.0,42.350282991983455,-71.09423941766819,122.5,4
11751289,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.342631849591115,-71.08757801587305,67.0,2
3903324,Fenway/Kenmore,0.5,95.0,10.0,9.0,42.34324822859435,-71.10065557437302,129.5,4
7573274,Fenway/Kenmore,1.0,90.0,9.0,10.0,42.344894929169975,-71.10003130040046,89.5,3
20647654,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.34300579475849,-71.09778274660839,99.0,3
15408519,Fenway/Kenmore,0.5,87.0,9.0,10.0,42.34802126447247,-71.0942872966517,75.0,2
11634778,Fenway/Kenmore,0.5,96.0,10.0,10.0,42.34140073858634,-71.08422337234195,80.0,3
8146576,Fenway/Kenmore,1.0,100.0,10.0,10.0,42.345257343838895,-71.1017419992736,93.0,3
20500458,Fenway/Kenmore,0.5,0.0,0.0,0.0,42.34487588952752,-71.09750701486075,116.33333333333333,4
17403869,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.34550955715929,-71.09949416183792,239.0,5
21175685,Fenway/Kenmore,0.5,0.0,0.0,0.0,42.345390155299576,-71.08937333899698,125.0,4
18110395,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.34335524173676,-71.08917895161079,110.0,4
17239644,Fenway/Kenmore,1.0,84.0,7.0,9.0,42.34403640092684,-71.098913803198,78.0,3
6983246,Fenway/Kenmore,1.0,95.0,9.0,10.0,42.34414641149264,-71.08795154871889,200.0,5
20426620,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.34303467579333,-71.0865321488925,80.0,3
16322051,Fenway/Kenmore,1.0,99.0,9.0,10.0,42.34563160137305,-71.09496442124077,80.0,3
4577188,Fenway/Kenmore,0.5,85.0,9.0,10.0,42.34715285129972,-71.09299046608885,104.5,4
12914154,Fenway/Kenmore,0.5,96.0,9.0,10.0,42.34745479662043,-71.09833026226526,35.0,1
20090241,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.343494629408205,-71.09679863040984,120.0,4
18976098,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.343634014760845,-71.08893957431333,85.0,3
19229917,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.346551851842214,-71.10286837698453,55.0,2
20392459,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.342125764127466,-71.08670120327274,100.0,3
8141545,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.34511496657015,-71.10037999942826,128.0,4
17419463,Fenway/Kenmore,1.0,100.0,10.0,10.0,42.343302201650246,-71.09783009170225,144.5,4
20745417,Fenway/Kenmore,0.3333333333333333,80.0,7.0,10.0,42.35052089749244,-71.09369285518471,66.33333333333333,2
4181163,Fenway/Kenmore,0.6666666666666666,95.0,10.0,10.0,42.34345804087656,-71.10063537045478,108.0,4
13449049,Fenway/Kenmore,1.0,100.0,10.0,10.0,42.34335155773515,-71.08897082850042,140.0,4
2214923,Fenway/Kenmore,0.6666666666666666,100.0,10.0,0.0,42.34432354861778,-71.09756328902589,113.66666666666667,4
17861343,Fenway/Kenmore,1.0,100.0,10.0,9.0,42.34481342178525,-71.09890533605777,139.0,4
8063870,Fenway/Kenmore,0.5,70.0,10.0,10.0,42.345377547846496,-71.10001766211451,129.5,4
8162168,Fenway/Kenmore,1.0,76.0,9.0,9.0,42.34471795950652,-71.0993000485672,87.5,3
8063815,Fenway/Kenmore,1.0,100.0,10.0,10.0,42.34548324231236,-71.10137047880296,124.0,4
8325366,Fenway/Kenmore,1.0,87.0,9.0,10.0,42.34455755054201,-71.10136772740505,90.0,3
9541295,Fenway/Kenmore,1.0,95.0,10.0,10.0,42.34621843364542,-71.0884587364036,289.0,5
8145397,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.34349333602471,-71.10056169574877,129.0,4
14682588,Fenway/Kenmore,1.0,100.0,10.0,10.0,42.34671824075804,-71.08785507554508,225.0,5
8325544,Fenway/Kenmore,1.0,73.0,10.0,10.0,42.34535220761722,-71.10203036617204,91.0,3
12962229,Fenway/Kenmore,2.0,0.0,0.0,0.0,42.34185766197388,-71.08904436916148,1275.0,5
20842436,Fenway/Kenmore,1.0,70.0,6.0,10.0,42.34282548381135,-71.08984386720826,89.0,3
14993326,Fenway/Kenmore,1.0,93.0,9.0,10.0,42.34276664915322,-71.0879706957881,75.0,2
19384244,Fenway/Kenmore,0.5,84.0,7.0,10.0,42.34140959268857,-71.09730362415844,69.0,2
8325030,Fenway/Kenmore,1.0,100.0,10.0,10.0,42.3454216464319,-71.09988207830347,87.0,3
10880916,Fenway/Kenmore,1.0,100.0,10.0,10.0,42.34396017669537,-71.1006203256844,134.0,4
16296934,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.34352343672015,-71.09992498977671,129.0,4
11454147,Fenway/Kenmore,1.0,91.0,10.0,9.0,42.34743398890462,-71.10256420815412,259.0,5
13076586,Fenway/Kenmore,1.5,100.0,10.0,10.0,42.34213596859539,-71.09009915775971,56.0,2
15409504,Fenway/Kenmore,0.5,90.0,9.0,9.0,42.34658541904917,-71.10671642747249,44.5,1
6015021,Fenway/Kenmore,1.0,80.0,10.0,10.0,42.34492195078808,-71.10009487037276,129.0,4
5834413,Fenway/Kenmore,1.0,73.0,8.0,8.0,42.344500447366784,-71.10204139520458,93.0,3
8439372,Fenway/Kenmore,0.3333333333333333,93.0,10.0,10.0,42.34408527141049,-71.0964367666906,98.33333333333333,3
14616134,Fenway/Kenmore,1.0,60.0,4.0,10.0,42.34591067977374,-71.10575431642056,111.0,4
10241577,Fenway/Kenmore,1.0,80.0,10.0,10.0,42.34387681075298,-71.101609416486,139.0,4
21202475,Fenway/Kenmore,0.3333333333333333,0.0,0.0,0.0,42.337653118940906,-71.08839203255184,108.33333333333333,4
18498991,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.34359545005098,-71.10199237156671,369.0,5
7325063,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.343495695672885,-71.09744934494148,129.0,4
5990896,Fenway/Kenmore,1.0,86.0,9.0,10.0,42.34275720922771,-71.09012122502668,95.0,3
21151013,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.349998385448544,-71.10470354528759,175.0,5
1819994,Fenway/Kenmore,1.0,60.0,2.0,10.0,42.34947355506917,-71.09264659076742,198.0,5
21185872,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.342580380023264,-71.09724851039806,160.0,5
11240774,Fenway/Kenmore,1.0,94.0,10.0,10.0,42.3462681379072,-71.10431989090918,95.0,3
2016500,Fenway/Kenmore,1.0,92.0,7.0,10.0,42.345823454552594,-71.08936151129126,150.0,4
20088028,Fenway/Kenmore,1.0,100.0,10.0,8.0,42.346432385557726,-71.09916166123534,188.0,5
14274311,Fenway/Kenmore,1.0,98.0,10.0,10.0,42.34207736574011,-71.08456532224928,150.0,4
10229333,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.344796782290146,-71.10174879415875,129.0,4
6568621,Fenway/Kenmore,0.6666666666666666,85.0,9.0,10.0,42.34326521956145,-71.10061666678733,108.0,4
16296800,Fenway/Kenmore,1.0,0.0,0.0,0.0,42.34372092916839,-71.10025550904425,129.0,4
14353399,Fenway/Kenmore,1.0,100.0,10.0,10.0,42.34510159111764,-71.10067630071042,125.0,4
8422253,Fenway/Kenmore,1.0,78.0,8.0,9.0,42.34776672179194,-71.09310047535841,17.0,1
9448243,Fenway/Kenmore,1.0,96.0,10.0,9.0,42.345854314522036,-71.08827174705465,289.0,5
6072693,Fenway/Kenmore,1.0,97.0,10.0,10.0,42.346340618880035,-71.09005111125059,199.0,5
196806,Fenway/Kenmore,1.0,98.0,10.0,10.0,42.34452373216799,-71.08683719659065,79.0,3
20775116,Fenway/Kenmore,1.0,100.0,10.0,9.0,42.34542481786527,-71.10334295416605,175.0,5
6014002,Fenway/Kenmore,1.0,97.0,10.0,10.0,42.34995488174675,-71.0929179126133,191.0,5
17591030,Fenway/Kenmore,0.5,0.0,0.0,0.0,42.3440498831694,-71.09365838047323,89.5,3
13079902,Fenway/Kenmore,1.5,100.0,10.0,10.0,42.341918191079095,-71.09001377006122,89.0,3
21135749,Fenway/Kenmore,0.3333333333333333,100.0,10.0,10.0,42.34768288528425,-71.09451150803486,66.33333333333333,2
3309941,Fenway/Kenmore,0.6666666666666666,92.0,10.0,10.0,42.343299155277364,-71.10016290573292,108.0,4
20634122,Allston-Brighton,1.0,0.0,0.0,0.0,42.35143480400125,-71.17337497251904,92.0,3
18118166,Allston-Brighton,1.0,80.0,10.0,4.0,42.3509750263222,-71.17222591328813,104.0,4
